#Identifier	Prediction	Probability	anchor position
FGRAMPH1_01T10925	Effector	0.751	
FGRAMPH1_01T12283	Non-effector	0.998	
FGRAMPH1_01T12665	Non-effector	1	
FGRAMPH1_01T13101	Non-effector	1	
FGRAMPH1_01T15281	Non-effector	1	
FGRAMPH1_01T16049	Non-effector	1	
FGRAMPH1_01T16209	Effector	0.92	
FGRAMPH1_01T21873	Non-effector	1	
FGRAMPH1_01T25625	Non-effector	1	
FGRAMPH1_01T25711	Non-effector	0.994	
FGRAMPH1_01T00197	Effector	1	
FGRAMPH1_01T04429	Effector	1	
FGRAMPH1_01T08889	Non-effector	1	
FGRAMPH1_01T19765	Non-effector	1	
FGRAMPH1_01T22311	Non-effector	0.876	
FGRAMPH1_01T23695	Non-effector	0.999	
FGRAMPH1_01T25243	Non-effector	0.999	
FGRAMPH1_01T27305	Effector	1	
FGRAMPH1_01T09103	Non-effector	1	
FGRAMPH1_01T27087	Non-effector	1	
FGRAMPH1_01T25715	Non-effector	1	
FGRAMPH1_01T04279	Effector	0.983	
FGRAMPH1_01T08517	Non-effector	1	
FGRAMPH1_01T09349	Effector	0.999	
FGRAMPH1_01T21615	Non-effector	1	
FGRAMPH1_01T25187	Effector	1	
FGRAMPH1_01T04801	Non-effector	1	
FGRAMPH1_01T05371	Non-effector	1	
FGRAMPH1_01T05563	Effector	0.975	
FGRAMPH1_01T08373	Effector	0.942	
FGRAMPH1_01T08857	Non-effector	1	
FGRAMPH1_01T11943	Non-effector	1	
FGRAMPH1_01T14599	Non-effector	1	
FGRAMPH1_01T21867	Non-effector	1	
FGRAMPH1_01T01447	Non-effector	0.952	
FGRAMPH1_01T02477	Non-effector	1	
FGRAMPH1_01T08879	Non-effector	1	
FGRAMPH1_01T12701	Non-effector	0.844	
FGRAMPH1_01T12717	Non-effector	1	
FGRAMPH1_01T15383	Effector	0.971	
FGRAMPH1_01T16193	Effector	0.996	
FGRAMPH1_01T22193	Non-effector	0.985	
FGRAMPH1_01T09095	Effector	0.995	
FGRAMPH1_01T18323	Non-effector	0.999	
FGRAMPH1_01T00059	Effector	1	
FGRAMPH1_01T10099	Non-effector	1	
FGRAMPH1_01T09149	Non-effector	1	
FGRAMPH1_01T09555	Non-effector	1	
FGRAMPH1_01T11615	Non-effector	1	
FGRAMPH1_01T11899	Non-effector	1	
FGRAMPH1_01T12129	Non-effector	0.997	
FGRAMPH1_01T12327	Effector	0.959	
FGRAMPH1_01T13699	Non-effector	0.989	
FGRAMPH1_01T21079	Non-effector	1	
FGRAMPH1_01T21471	Non-effector	0.733	
FGRAMPH1_01T01937	Non-effector	0.99	
FGRAMPH1_01T05715	Non-effector	0.967	
FGRAMPH1_01T08859	Effector	0.708	
FGRAMPH1_01T09511	Non-effector	1	
FGRAMPH1_01T12775	Non-effector	0.975	
FGRAMPH1_01T14115	Non-effector	0.996	
FGRAMPH1_01T19507	Non-effector	0.958	
FGRAMPH1_01T21295	Non-effector	1	
FGRAMPH1_01T21361	Effector	1	
FGRAMPH1_01T22249	Non-effector	0.992	
FGRAMPH1_01T27865	Effector	1	
FGRAMPH1_01T08553	Effector	1	
FGRAMPH1_01T08355	Non-effector	1	
FGRAMPH1_01T04285	Effector	1	
FGRAMPH1_01T05609	Non-effector	0.986	
FGRAMPH1_01T13257	Effector	0.942	
FGRAMPH1_01T21175	Non-effector	0.998	
FGRAMPH1_01T00613	Effector	0.999	
FGRAMPH1_01T04375	Non-effector	1	
FGRAMPH1_01T10923	Non-effector	1	
FGRAMPH1_01T11359	Effector	0.927	
FGRAMPH1_01T11939	Non-effector	1	
FGRAMPH1_01T13983	Non-effector	0.997	
FGRAMPH1_01T16215	Non-effector	1	
FGRAMPH1_01T16413	Non-effector	1	
FGRAMPH1_01T25713	Effector	0.948	
FGRAMPH1_01T05277	Effector	0.657	
FGRAMPH1_01T10097	Effector	0.998	
FGRAMPH1_01T12949	Non-effector	1	
FGRAMPH1_01T13287	Non-effector	1	
FGRAMPH1_01T13355	Effector	0.937	
FGRAMPH1_01T14125	Non-effector	1	
FGRAMPH1_01T20441	Effector	0.816	
FGRAMPH1_01T21479	Non-effector	1	
FGRAMPH1_01T25613	Non-effector	0.929	
FGRAMPH1_01T25929	Effector	0.886	
FGRAMPH1_01T05189	Non-effector	1	
FGRAMPH1_01T08845	Effector	1	
FGRAMPH1_01T08389	Effector	0.97	
FGRAMPH1_01T09375	Effector	0.987	
FGRAMPH1_01T11901	Effector	0.965	
FGRAMPH1_01T12111	Non-effector	1	
FGRAMPH1_01T13125	Non-effector	0.927	
FGRAMPH1_01T13609	Effector	0.553	
FGRAMPH1_01T15893	Non-effector	1	
FGRAMPH1_01T21233	Non-effector	0.999	
FGRAMPH1_01T28229	Effector	0.969	
FGRAMPH1_01T00503	Non-effector	1	
FGRAMPH1_01T03067	Non-effector	1	
FGRAMPH1_01T05321	Non-effector	1	
FGRAMPH1_01T14007	Non-effector	0.983	
FGRAMPH1_01T21001	Non-effector	1	
FGRAMPH1_01T27273	Non-effector	0.992	
FGRAMPH1_01T21929	Non-effector	1	
FGRAMPH1_01T08679	Non-effector	1	
FGRAMPH1_01T09287	Non-effector	1	
FGRAMPH1_01T12193	Effector	0.702	
FGRAMPH1_01T13977	Non-effector	1	
FGRAMPH1_01T14351	Non-effector	1	
FGRAMPH1_01T15293	Non-effector	1	
FGRAMPH1_01T22339	Non-effector	1	
FGRAMPH1_01T24271	Effector	0.999	
FGRAMPH1_01T01453	Non-effector	1	
FGRAMPH1_01T05437	Effector	0.751	
FGRAMPH1_01T05709	Effector	0.996	
FGRAMPH1_01T11755	Effector	0.986	
FGRAMPH1_01T15735	Effector	0.963	
FGRAMPH1_01T21907	Effector	1	
FGRAMPH1_01T08405	Non-effector	0.873	
FGRAMPH1_01T08487	Non-effector	1	
FGRAMPH1_01T05461	Non-effector	1	
FGRAMPH1_01T08633	Non-effector	1	
FGRAMPH1_01T12927	Effector	0.832	
FGRAMPH1_01T21535	Non-effector	1	
FGRAMPH1_01T21785	Non-effector	1	
FGRAMPH1_01T21849	Non-effector	1	
FGRAMPH1_01T00833	Non-effector	1	
FGRAMPH1_01T14259	Non-effector	0.997	
FGRAMPH1_01T20217	Non-effector	0.995	
FGRAMPH1_01T24025	Non-effector	1	
FGRAMPH1_01T08941	Non-effector	1	
FGRAMPH1_01T21921	Non-effector	1	
FGRAMPH1_01T14005	Non-effector	1	
FGRAMPH1_01T22203	Non-effector	0.575	
FGRAMPH1_01T13589	Non-effector	1	
FGRAMPH1_01T13883	Non-effector	1	
FGRAMPH1_01T15873	Non-effector	0.935	
FGRAMPH1_01T16775	Non-effector	0.994	
FGRAMPH1_01T21889	Non-effector	1	
FGRAMPH1_01T26995	Non-effector	1	
FGRAMPH1_01T07803	Non-effector	0.823	
FGRAMPH1_01T11933	Non-effector	0.998	
FGRAMPH1_01T12409	Non-effector	1	
FGRAMPH1_01T20057	Non-effector	1	
FGRAMPH1_01T20977	Effector	0.882	
FGRAMPH1_01T26033	Non-effector	1	
FGRAMPH1_01T27703	Effector	0.918	
FGRAMPH1_01T05661	Non-effector	0.88	
FGRAMPH1_01T13199	Non-effector	1	
FGRAMPH1_01T13397	Non-effector	0.599	
FGRAMPH1_01T13409	Effector	0.911	
FGRAMPH1_01T20993	Non-effector	1	
FGRAMPH1_01T21085	Non-effector	0.761	
FGRAMPH1_01T21617	Non-effector	1	
FGRAMPH1_01T25697	Non-effector	1	
FGRAMPH1_01T00199	Effector	0.985	
FGRAMPH1_01T08907	Non-effector	1	
FGRAMPH1_01T12551	Effector	0.648	
FGRAMPH1_01T16271	Effector	0.988	
FGRAMPH1_01T20997	Non-effector	0.999	
FGRAMPH1_01T15723	Non-effector	1	
FGRAMPH1_01T08561	Effector	0.994	
FGRAMPH1_01T21367	Non-effector	0.976	
FGRAMPH1_01T13775	Non-effector	1	
FGRAMPH1_01T21211	Non-effector	0.999	
FGRAMPH1_01T25769	Effector	0.944	
FGRAMPH1_01T08619	Non-effector	1	
FGRAMPH1_01T08535	Non-effector	1	
FGRAMPH1_01T11823	Non-effector	0.999	
FGRAMPH1_01T12095	Non-effector	1	
FGRAMPH1_01T12971	Non-effector	1	
FGRAMPH1_01T15951	Non-effector	1	
FGRAMPH1_01T21147	Non-effector	1	
FGRAMPH1_01T06433	Effector	0.998	
FGRAMPH1_01T12903	Non-effector	0.901	
FGRAMPH1_01T19297	Non-effector	0.968	
FGRAMPH1_01T21435	Non-effector	0.543	
FGRAMPH1_01T13283	Effector	0.768	
FGRAMPH1_01T25477	Effector	1	
FGRAMPH1_01T13909	Non-effector	0.998	
FGRAMPH1_01T16301	Non-effector	1	
FGRAMPH1_01T03991	Non-effector	1	
FGRAMPH1_01T07553	Effector	0.959	
FGRAMPH1_01T12759	Non-effector	1	
FGRAMPH1_01T13129	Non-effector	1	
FGRAMPH1_01T14369	Effector	0.578	
FGRAMPH1_01T15879	Non-effector	1	
FGRAMPH1_01T03333	Non-effector	1	
FGRAMPH1_01T21111	Non-effector	0.994	
FGRAMPH1_01T09053	Non-effector	0.88	
FGRAMPH1_01T05239	Effector	0.799	
FGRAMPH1_01T09191	Non-effector	1	
FGRAMPH1_01T11145	Non-effector	0.661	
FGRAMPH1_01T02877	Non-effector	1	
FGRAMPH1_01T08483	Effector	0.999	
FGRAMPH1_01T09935	Non-effector	0.978	
FGRAMPH1_01T12629	Effector	0.806	
FGRAMPH1_01T18371	Non-effector	1	
FGRAMPH1_01T23431	Non-effector	0.83	
FGRAMPH1_01T27075	Non-effector	1	
FGRAMPH1_01T06361	Non-effector	0.978	
FGRAMPH1_01T13465	Non-effector	1	
FGRAMPH1_01T15881	Non-effector	1	
FGRAMPH1_01T16503	Non-effector	1	
FGRAMPH1_01T25415	Non-effector	1	
FGRAMPH1_01T13079	Non-effector	0.73	
FGRAMPH1_01T14041	Non-effector	1	
FGRAMPH1_01T16959	Effector	1	
FGRAMPH1_01T27963	Non-effector	1	
FGRAMPH1_01T15787	Effector	0.98	
FGRAMPH1_01T15459	Non-effector	1	
FGRAMPH1_01T12165	Non-effector	1	
FGRAMPH1_01T13623	Non-effector	1	
FGRAMPH1_01T21315	Non-effector	1	
FGRAMPH1_01T07537	Non-effector	0.998	
FGRAMPH1_01T09573	Non-effector	1	
FGRAMPH1_01T21317	Effector	1	
FGRAMPH1_01T21605	Non-effector	1	
FGRAMPH1_01T22687	Non-effector	1	
FGRAMPH1_01T27325	Non-effector	0.643	
FGRAMPH1_01T08675	Non-effector	1	
FGRAMPH1_01T04253	Non-effector	1	
FGRAMPH1_01T06277	Non-effector	0.805	
FGRAMPH1_01T08527	Non-effector	1	
FGRAMPH1_01T13483	Non-effector	0.515	
FGRAMPH1_01T14021	Non-effector	0.734	
FGRAMPH1_01T21071	Effector	0.791	
FGRAMPH1_01T24799	Non-effector	0.993	
FGRAMPH1_01T15811	Non-effector	1	
FGRAMPH1_01T16201	Non-effector	1	
FGRAMPH1_01T24669	Non-effector	1	
FGRAMPH1_01T13251	Non-effector	1	
FGRAMPH1_01T15685	Non-effector	0.979	
FGRAMPH1_01T25965	Non-effector	1	
FGRAMPH1_01T25689	Non-effector	1	
FGRAMPH1_01T12053	Effector	0.786	
FGRAMPH1_01T28051	Non-effector	1	
FGRAMPH1_01T04535	Non-effector	0.878	
FGRAMPH1_01T18783	Non-effector	1	
FGRAMPH1_01T27207	Non-effector	1	
FGRAMPH1_01T16327	Non-effector	1	
FGRAMPH1_01T04371	Non-effector	1	
FGRAMPH1_01T05817	Non-effector	1	
FGRAMPH1_01T11595	Non-effector	1	
FGRAMPH1_01T22187	Non-effector	0.987	
FGRAMPH1_01T15675	Effector	0.997	
FGRAMPH1_01T15831	Non-effector	1	
FGRAMPH1_01T08641	Non-effector	1	
FGRAMPH1_01T16017	Non-effector	1	
FGRAMPH1_01T11821	Non-effector	0.994	
FGRAMPH1_01T01529	Non-effector	0.928	
FGRAMPH1_01T12801	Non-effector	1	
FGRAMPH1_01T13223	Effector	1	
FGRAMPH1_01T20319	Non-effector	1	
FGRAMPH1_01T21545	Non-effector	1	
FGRAMPH1_01T13319	Effector	0.776	
FGRAMPH1_01T06193	Non-effector	0.804	
FGRAMPH1_01T15823	Effector	0.943	
FGRAMPH1_01T13337	Non-effector	0.978	
FGRAMPH1_01T27931	Effector	0.83	
FGRAMPH1_01T22279	Non-effector	1	
FGRAMPH1_01T27929	Non-effector	1	
FGRAMPH1_01T09831	Effector	0.948	
FGRAMPH1_01T16109	Non-effector	0.503	
FGRAMPH1_01T19521	Non-effector	1	
FGRAMPH1_01T23167	Non-effector	0.824	
FGRAMPH1_01T25251	Non-effector	1	
FGRAMPH1_01T08583	Effector	0.569	
FGRAMPH1_01T14407	Effector	0.955	
FGRAMPH1_01T13837	Non-effector	1	
FGRAMPH1_01T16243	Non-effector	0.761	
FGRAMPH1_01T03065	Effector	0.567	
FGRAMPH1_01T23351	Effector	0.82	
FGRAMPH1_01T00049	Non-effector	1	
FGRAMPH1_01T12889	Non-effector	1	
FGRAMPH1_01T15147	Non-effector	1	
FGRAMPH1_01T11549	Non-effector	0.656	
FGRAMPH1_01T16973	Non-effector	1	
FGRAMPH1_01T05171	Non-effector	1	
FGRAMPH1_01T06525	Non-effector	1	
FGRAMPH1_01T14027	Non-effector	1	
FGRAMPH1_01T11435	Effector	0.863	
